Index No.,구분,검색어,유의어
Nam_K_25,아티스트명,Billie Eilish,"Billie Eilish,BillieEilish,빌리 엘리시,빌리엘리시,빌리 엘리쉬,빌리엘리쉬"
Tit_K_53,곡명,Billy Poco,"Billy Poco,BillyPoco,빌리 포코,빌리포코"
tag_K_31,태그명,bimil:ier,"bimil:ier,bimilier,비밀리에"
Tit_R_76,곡명,Bipolar,"Bipolar,바이폴라"
Tit_R_77,곡명,Bird,"Bird,버드,벌드"
Tit_K_54,곡명,Birds,"Birds,벌즈,버즈"
Nam_R_45,아티스트명,Birdy,"Birdy,버디"
Tit_R_78,곡명,BIRTHDAY,"BIRTHDAY,벌스데이,벌쓰데이,버스데이,버쓰데이"
Tit_R_79,곡명,bit,"bit,비트,빗"
Tit_R_80,곡명,bitch,"bitch,비치"
Tit_K_55,곡명,Bittersweet,"Bittersweet,비터스위트,비터스윗"
Tit_R_81,곡명,black,"black,블랙"
Nam_R_46,아티스트명,Black Eyed Peas,"Black Eyed Peas,BlackEyedPeas,블랙 아이드 피스,블랙아이드피스"
Nam_K_26,아티스트명,blackbear,"blackbear,black bear,블랙 베어,블랙베어"
Nam_R_47,아티스트명,BLACKPINK,"BLACKPINK,블랙핑크"
Tit_R_82,곡명,BLAME,"BLAME,블래임,블레임"
Tit_R_83,곡명,blanc,"blanc,블랑"
Tit_K_56,곡명,Blanket,"Blanket,블랭킷"
Tit_K_57,곡명,Bleed ,"Bleed,블리드"
Tit_R_84,곡명,bless,"bless,블레스"
Tit_R_85,곡명,BLESSED,"BLESSED,블레스드"
Tit_R_86,곡명,blind,"blind,블라인드"
tag_K_32,태그명,BLITZERS,"BLITZERS,블리처스"
tag_K_33,태그명,Block B,"Block B,BlockB,블락 비,블락비"
tag_K_34,태그명,BLOO,"BLOO,블루"
Tit_R_87,곡명,Blood,"Blood,블러드"
Tit_K_58,곡명,Blooded,"Blooded,블러디드"
Tit_R_88,곡명,bloom,"bloom,블룸"
Tit_R_89,곡명,blossom,"blossom,블라섬,블라썸,블로섬,블로썸"
Tit_K_59,곡명,BLOW,"BLOW,블로우"
Tit_R_90,곡명,blue,"blue,블루"
Tit_R_91,곡명,blueberries,"blueberries,블루베리스"
Tit_R_92,곡명,Blueming,"Blueming,블루밍"
Tit_K_60,곡명,Blues,"Blues,블루스"
Tit_K_61,곡명,Blurry,"Blurry,블러리"
Tit_R_94,곡명,Boat,"Boat,보트"
Nam_K_27,아티스트명,Bob Marley,"Bob Marley,BobMarley,밥 말리,밥말리"
Nam_R_48,아티스트명,BOBBY,"BOBBY,바비"
Tit_R_95,곡명,BOCA,"BOCA,보카,보까"
Tit_K_62,곡명,Body,"Body,바디,보디"
tag_K_35,태그명,BOGUMMY,"BOGUMMY,보거미,박보검"
Tit_K_63,곡명,Bohemian Rhapsody,"Bohemian Rhapsody,BohemianRhapsody,보헤미안 랩소디,보헤미안랩소디"
Tit_R_96,곡명,bomb,"bomb,밤"
Tit_K_64,곡명,Bon Voyage,"Bon Voyage,BonVoyage,본 보야지,본보야지"
Tit_K_65,곡명,Bonnie & Clyde,"Bonnie & Clyde,Bonnie&Clyde,보니앤클라이드,보니 앤 클라이드"
Tit_K_66,곡명,Boogie,"Boogie,부기"
Tit_R_97,곡명,boom,"boom,붐"
Tit_R_98,곡명,border,"border,보더"
tag_K_36,태그명,Borest,"Borest,보레스트"
Tit_R_99,곡명,born,"born,본"
Tit_R_100,곡명,BOSS,"BOSS,보스"
Tit_K_68,곡명,Bottled,"Bottled,보틀드"
Tit_K_69,곡명,Bounces,"Bounces,바운스"
Tit_R_101,곡명,BOUNCY,"BOUNCY,바운시"
Tit_R_102,곡명,box,"box,박스"
Tit_R_103,곡명,BOY,"Boy,보이"
Nam_K_28,아티스트명,Boy In Space,"Boy In Space,BoyInSpace,보이 인 스페이스,보이인스페이스"
Nam_R_49,아티스트명,BOYHOOD,"BOYHOOD,보이후드"
Tit_R_104,곡명,BOYSHIT,"BOYSHIT,보이쉿"
Tit_R_105,곡명,boyz,"boyz,boys,보이즈,보이스,"
tag_K_37,태그명,Boyz II Men,"Boyz II Men,BoyzIIMen,보이즈 투 맨,보이즈투맨"
tag_K_38,태그명,BPLIVE,블랙핑크라이브
Tit_K_70,곡명,BRAIN,"BRAIN,브레인"
Tit_R_106,곡명,brave,"brave,브레이브"
Tit_R_107,곡명,Bravo,"Bravo,브라보"
Tit_R_108,곡명,break,"break,브레이크"
Tit_K_71,곡명,Breakdown,"Breakdown,브레이크다운"
Tit_K_72,곡명,Breaking,"Breaking,브레이킹"
Tit_R_109,곡명,breath,"breath,브레스,브레쓰"
Tit_R_110,곡명,BREATHE,"BREATHE,브리드"
Tit_R_111,곡명,Breeze,"Breeze,브리즈"
Nam_R_50,아티스트명,Brett Eldredge,"Brett Eldredge,BrettEldredge,브렛 엘드리지,브렛엘드리지"
tag_K_39,태그명,Brett Eldredge,"Brett Eldredge,BrettEldredge,브렛 엘드리지,브렛엘드리지"
Tit_K_73,곡명,Brick,"Brick,브릭"
Tit_R_112,곡명,broke,"broke,브로크"
Tit_K_74,곡명,Broken,"Broken,브로큰"
tag_K_40,태그명,Bronze,"Bronze,브론즈"
Tit_K_75,곡명,BRUNCH,"BRUNCH,브런치"
tag_K_41,태그명,Bruno Champman,"Bruno Champman,BrunoChampman,브루노 챔프맨,브루노챔프맨"
Nam_R_51,아티스트명,Bruno Mars,"Bruno Mars,BrunoMars,브루노 마스,브루노마스"
Nam_K_29,아티스트명,Bruno Martini,"Bruno Martini,BrunoMartini,브루노 마티니,브루노마티니"
Tit_K_76,곡명,Brush,"Brush,브러쉬,브러시"
Nam_R_52,아티스트명,Bryson Tiller,"Bryson Tiller,BrysonTiller,브라이슨 틸러,브라이슨틸러"
Tit_K_77,곡명,Btfl Mind,"Btfl Mind,BtflMind,뷰티풀마인드,뷰티풀 마인드"
tag_K_42,태그명,BTOB,"BTOB,비투비"
tag_K_43,태그명,BTOB 4U,"BTOB 4U,BTOB4U,비투비 포유,비투비포유"
Tit_K_78,곡명,Bubble Pop!,"Bubble Pop!,BubblePop,버블 팝,버블팝"
Tit_K_79,곡명,BUFFALO,"BUFFALO,버팔로"
Tit_K_80,곡명,Buffet,"Buffet,뷔페,부페"
Tit_K_81,곡명,bugAboo,"bugAboo,부가부"
Tit_R_113,곡명,BULLET,"BULLET,불렛,불릿"
Tit_K_82,곡명,Bulletproof,"Bulletproof,불렛프루프"
Tit_R_114,곡명,bump,"bump,범프"
Tit_K_83,곡명,Busy Tone,"Busy Tone,BusyTone,비지 톤,비지톤"
Tit_K_84,곡명,Butter,"Butter,버터"
Tit_K_85,곡명,Butterflies,"Butterflies,버터플라이즈"
Tit_R_115,곡명,BUTTERFLY,"BUTTERFLY,버터플라이"
Tit_K_86,곡명,Buzzkill,"Buzzkill,버즈킬"
Tit_R_116,곡명,By,"By,바이"
Tit_R_117,곡명,bye,"bye,바이"
Nam_K_30,아티스트명,BZ-BOYS (청공소년),"BZ-BOYS,BZBoys,비지보이스,청공소년,청공 소년"
Nam_R_53,아티스트명,CA$H KiD,"CA$H KiD,CASHKiD,캐시 키드,캐시키드"
Tit_K_87,곡명,Cadillac,"Cadillac,캐딜락"
Tit_R_118,곡명,Caffeine,"Caffeine,카페인"
Tit_K_88,곡명,Cake,"Cake,케이크"
tag_K_44,태그명,CAL,"CAL,칼"
Tit_K_89,곡명,California,"California,캘리포니아"
Tit_R_119,곡명,call,"call,콜"
Tit_R_120,곡명,calling,"calling,콜링"
Tit_K_90,곡명,Calm,"Calm,캄"
Nam_R_54,아티스트명,Calvin Harris,"Calvin Harris,CalvinHarris,켈빈 해리스,켈빈해리스"
Tit_R_121,곡명,CAMERAS,"CAMERAS,카메라스"
Nam_R_55,아티스트명,Camila Cabello,"Camila Cabello,CamilaCabello,카밀라 카베요,카밀라카베요"
Tit_R_122,곡명,Can,"Can,캔"
tag_K_45,태그명,CANDO,"CANDO,캔도"
Tit_R_123,곡명,candy,"candy,캔디"
Tit_R_124,곡명,cane,"cane,케인"
Nam_R_56,아티스트명,Cannons,"Cannons,캐논스"
Tit_R_125,곡명,can't,"can't,캔트"
Tit_R_126,곡명,CANVAS,"CANVAS,캔버스,캔바스"
Nam_R_57,아티스트명,Cao Lu,"Cao Lu,CaoLu,차오 루,차오루"
Tit_R_127,곡명,capsule,"capsule,캡슐"
Tit_R_128,곡명,card,"card,카드"
Tit_K_91,곡명,cardigan,"cardigan,카디건"
Nam_K_31,아티스트명,Carly Rae Jepsen,"Carly Rae Jepsen,CarlyRaeJepsen,칼리 레이 젭슨,칼리레이젭슨"
Nam_K_32,아티스트명,Carmen DeLeon,"Carmen DeLeon,CarmenDeLeon,카르멘 델리온,카르멘델리온"
Tit_R_129,곡명,Carnival,"Carnival,카니발"
